id_client,ville,offre_promotionnelle
280,Owo,Abonnement gratuit 15 jours
277,Ogbomosho,Abonnement gratuit 15 jours
363,Nyeri,Abonnement gratuit 15 jours
284,Benin City,Abonnement gratuit 15 jours
361,Yaound,Abonnement gratuit 15 jours
286,Effon-Alaiye,Abonnement gratuit 15 jours
338,Paarl,Abonnement gratuit 15 jours
352,Bamenda,Abonnement gratuit 15 jours
409,Deba Habe,Abonnement gratuit 15 jours
250,Oyo,Abonnement gratuit 15 jours
257,Beira,Abonnement gratuit 15 jours
383,Namibe,Abonnement gratuit 15 jours
387,Lubumbashi,Abonnement gratuit 15 jours
375,Mwene-Ditu,Abonnement gratuit 15 jours
432,Newcastle,Abonnement gratuit 15 jours
433,Naala-Porto,Abonnement gratuit 15 jours
438,Kitwe,Abonnement gratuit 15 jours
441,Batna,Abonnement gratuit 15 jours
528,Benguela,Abonnement gratuit 15 jours
19,Kimberley,Abonnement gratuit 15 jours
69,Bchar,Abonnement gratuit 15 jours
83,Springs,Abonnement gratuit 15 jours
176,Skikda,Abonnement gratuit 15 jours
220,Zanzibar,Abonnement gratuit 15 jours
392,Addis Abeba,Abonnement gratuit 15 jours
535,NDjamna,Abonnement gratuit 15 jours
559,Bilbays,Abonnement gratuit 15 jours
22,Sal,Abonnement gratuit 15 jours
109,Klerksdorp,Abonnement gratuit 15 jours
190,Tabora,Abonnement gratuit 15 jours
395,al-Qadarif,Abonnement gratuit 15 jours
423,Sawhaj,Abonnement gratuit 15 jours
543,Beni-Mellal,Abonnement gratuit 15 jours
562,Sokoto,Abonnement gratuit 15 jours
584,Banjul,Abonnement gratuit 15 jours
40,Nador,Abonnement gratuit 15 jours
125,Boksburg,Abonnement gratuit 15 jours
132,Botshabelo,Abonnement gratuit 15 jours
145,Soshanguve,Abonnement gratuit 15 jours
156,Ondo,Abonnement gratuit 15 jours
193,Kisumu,Abonnement gratuit 15 jours
232,Zaria,Abonnement gratuit 15 jours
335,Sousse,Abonnement gratuit 15 jours
491,Mit Ghamr,Abonnement gratuit 15 jours
50,Omdurman,Abonnement gratuit 15 jours
80,Ife,Abonnement gratuit 15 jours
134,Qalyub,Abonnement gratuit 15 jours
198,Ikerre,Abonnement gratuit 15 jours
471,Johannesburg,Abonnement gratuit 15 jours
18,Kaduna,Abonnement gratuit 15 jours
119,Shubra al-Khayma,Abonnement gratuit 15 jours
166,Lilongwe,Abonnement gratuit 15 jours
407,Rustenburg,Abonnement gratuit 15 jours
456,Ziguinchor,Abonnement gratuit 15 jours
81,Mahajanga,Abonnement gratuit 15 jours
97,Tete,Abonnement gratuit 15 jours
103,Ilorin,Abonnement gratuit 15 jours
233,Idfu,Abonnement gratuit 15 jours
555,Chatsworth,Abonnement gratuit 15 jours
481,Mwanza,Abonnement gratuit 15 jours
